source;source_lat;source_lng;target;target_lat;target_lng;cost;directed
1302847919;-3.7370692;-38.5787043;1295889413;-3.7364202;-38.578809;0.000657391124065766;f
264954779;-3.8286371;-38.5204567;264954781;-3.8287784;-38.5205164;0.000153394198065615;f
529690855;-3.7703561;-38.4361395;529690861;-3.7699474;-38.4363903;0.000479516767170974;f
263283112;-3.7413154;-38.6048809;263283114;-3.7404667;-38.605006;0.000857870444765163;f
1304306463;-3.6911357;-38.6120991;1304306491;-3.6910715;-38.6119006;0.000208623800179377;f
477116651;-3.7268652;-38.5123072;599631346;-3.7267526;-38.5126436;0.000354744584167966;t
629736545;-3.7523821;-38.5449734;629736352;-3.7531013;-38.5441503;0.00109304265699389;f
264898927;-3.7572456;-38.5389537;626198440;-3.7581978;-38.539241;0.00099459847677238;t
1302847888;-3.7354784;-38.5929238;1302848030;-3.7356309;-38.5933722;0.000473623067424538;t
1275276108;-3.7581133;-38.5713351;1285208027;-3.7584372;-38.5708375;0.0005937313954942;f
263973323;-3.7492865;-38.6179927;263973325;-3.7498593;-38.6177705;0.000614388053270037;f
1243889539;-3.8228661;-38.6197025;1243889492;-3.821835;-38.6187063;0.00143372997806634;t
264943577;-3.8003799;-38.5304171;264943579;-3.8010642;-38.530101;0.000753780936346613;t
265639709;-3.7660623;-38.5497968;628525256;-3.7667241;-38.5490854;0.000971632234952954;f
1194333572;-3.8377615;-38.6038991;1194333573;-3.8391531;-38.6006161;0.00356575932446011;f
1524517310;-3.7647035;-38.6384971;344783216;-3.7649313;-38.6361727;0.00233553595562046;f
629736434;-3.7532146;-38.5472457;629736438;-3.752546;-38.5480889;0.00107610975277128;f
477466878;-3.7405518;-38.518049;477466884;-3.7399322;-38.5178588;0.000648135942530034;t
1288548434;-3.7626865;-38.5659392;1288548452;-3.7623101;-38.5665325;0.000702624971089226;f
1302847930;-3.7293141;-38.587224;1289742041;-3.7290149;-38.5865486;0.00073870548935149;f
626197773;-3.7673085;-38.5495974;628525256;-3.7667241;-38.5490854;0.000776960333608287;f
1289742291;-3.7473799;-38.6119514;1289742053;-3.7473766;-38.6103388;0.00161260337653266;f
263929787;-3.7914134;-38.5561245;263929789;-3.7916503;-38.5560546;0.000246997206461845;f
499842325;-3.7728663;-38.619298;499842328;-3.7733373;-38.6178131;0.00155780904157209;f
1524517295;-3.760762;-38.6523111;1524517284;-3.7606611;-38.6523444;0.000106252999957198;t
1302847993;-3.7381088;-38.5949234;1289742202;-3.738725;-38.5948367;0.000622269499493251;f
622393955;-3.7965206;-38.4942851;264955249;-3.7955366;-38.4941831;0.00098927245994185;f
629736385;-3.7514521;-38.5411238;263951170;-3.7514011;-38.5411774;7.39862149330535e-05;f
626198626;-3.7625123;-38.5297705;626198631;-3.7604277;-38.5289324;0.00224676851722476;f
626124713;-3.7378689;-38.5457126;626124715;-3.7384269;-38.545113;0.000819075185804732;f
622541776;-3.7648503;-38.5090541;263930391;-3.7666644;-38.5091988;0.00181986178046557;t
616297131;-3.7396903;-38.4908957;621557248;-3.7387648;-38.4905914;0.000974242649446982;t
265085035;-3.7132032;-38.5827128;265085036;-3.713241;-38.5829149;0.000205604596247829;f
622032108;-3.7717284;-38.4962324;622032109;-3.7720924;-38.4950522;0.00123505790956691;f
